startup_id,user_id
145766,879
145766,366373
145766,299232
145766,419617
145766,220318
145766,122920
145766,2719
145766,311585
145766,515669
145766,44864
145766,71711
145766,580405
145766,581941
145766,413515
145766,10000
145766,385153
145766,473244
145766,378121
145766,170282
145766,264033
145766,131158
145766,276274
145766,222318
145766,566683
145766,413198
145766,123600
145766,479870
145766,316744
145766,101990
145766,107562
145766,91086
145766,417266
145766,38849
145766,386430
145766,53819
145766,139243
145766,387470
145766,322761
145766,441321
145766,246798
145766,159018
145766,256611
145766,35540
145766,549929
145766,444511
145766,3929
145766,85524
145766,68026
145766,152438
145766,37011
145766,879
145766,366373
145766,299232
145766,419617
145766,220318
145766,122920
145766,2719
145766,311585
145766,515669
145766,44864
145766,71711
145766,580405
145766,581941
145766,413515
145766,10000
145766,385153
145766,473244
145766,378121
145766,170282
145766,264033
145766,131158
145766,276274
145766,222318
145766,566683
145766,413198
145766,123600
145766,479870
145766,316744
145766,101990
145766,107562
145766,91086
145766,417266
145766,38849
145766,386430
145766,53819
145766,139243
145766,387470
145766,322761
145766,441321
145766,246798
145766,159018
145766,256611
145766,35540
145766,549929
145766,444511
145766,3929
145766,85524
145766,68026
145766,152438
145766,37011
145766,879
145766,366373
145766,299232
145766,419617
145766,220318
145766,122920
145766,2719
145766,311585
145766,515669
145766,44864
145766,71711
145766,580405
145766,581941
145766,413515
145766,10000
145766,385153
145766,473244
145766,378121
145766,170282
145766,264033
145766,131158
145766,276274
145766,222318
145766,566683
145766,413198
145766,123600
145766,479870
145766,316744
145766,101990
145766,107562
145766,91086
145766,417266
145766,38849
145766,386430
145766,53819
145766,139243
145766,387470
145766,322761
145766,441321
145766,246798
145766,159018
145766,256611
145766,35540
145766,549929
145766,444511
145766,3929
145766,85524
145766,68026
145766,152438
145766,37011
165934,35201
165934,99649
165934,432633
165934,13286
165934,178898
165934,549937
165934,174449
165934,2719
165934,311585
165934,159018
165934,413515
165934,571523
165934,106994
165934,417266
165934,44864
165934,191364
165934,515669
165934,316744
165934,563085
165934,499488
165934,10115
165934,39936
165934,10000
165934,385153
165934,473244
165934,378121
165934,41388
165934,264033
165934,131158
165934,222318
165934,566683
165934,413198
165934,123600
165934,479870
165934,107562
165934,91086
165934,38849
165934,386430
165934,53819
165934,139243
165934,387470
165934,322761
165934,170282
165934,246798
165934,256611
165934,549929
165934,444511
165934,3929
165934,565224
165934,307876
165934,35201
165934,99649
165934,432633
165934,13286
165934,178898
165934,549937
165934,174449
165934,2719
165934,311585
165934,159018
165934,413515
165934,571523
165934,106994
165934,417266
165934,44864
165934,191364
165934,515669
165934,316744
165934,563085
165934,499488
165934,10115
165934,39936
165934,10000
165934,385153
165934,473244
165934,378121
165934,41388
165934,264033
165934,131158
165934,222318
165934,566683
165934,413198
165934,123600
165934,479870
165934,107562
165934,91086
165934,38849
165934,386430
165934,53819
165934,139243
165934,387470
165934,322761
165934,170282
165934,246798
165934,256611
165934,549929
165934,444511
165934,3929
165934,565224
165934,307876
247020,360714
247020,367350
247020,367497
247020,368016
247020,369065
247020,369820
247020,372171
247020,376043
247020,144
247020,126221
247020,93225
247020,566622
247020,311585
247020,159018
247020,583944
247020,10000
247020,385153
247020,473244
247020,378121
247020,71711
247020,264033
247020,131158
247020,222318
247020,276274
247020,566683
247020,413198
247020,123600
247020,413515
247020,479870
247020,316744
247020,44864
247020,107562
247020,91086
247020,417266
247020,38849
247020,386430
247020,53819
247020,139243
247020,387470
247020,322761
247020,170282
247020,246798
247020,256611
247020,515669
247020,549929
247020,444511
247020,3929
247020,240439
247020,374844
247020,41388
343335,514576
343335,10000
343335,145876
343335,522934
343335,539246
343335,279547
343335,566683
343335,131158
343335,417266
343335,8110
343335,144
343335,466482
343335,478315
343335,266791
343335,55222
343335,133186
343335,385153
343335,473244
343335,378121
343335,71711
343335,41388
343335,170282
343335,264033
343335,276274
343335,222318
343335,413198
343335,123600
343335,413515
343335,479870
343335,316744
343335,44864
343335,311585
343335,107562
343335,91086
343335,159018
343335,38849
343335,386430
343335,53819
343335,139243
343335,387470
343335,322761
343335,246798
343335,256611
343335,361812
343335,515669
343335,549929
343335,444511
343335,3929
343335,542960
343328,514576
343328,145876
343328,522934
343328,510891
343328,145702
343328,279547
343328,546539
343328,566683
343328,10000
343328,466482
343328,478315
343328,266791
343328,561629
343328,361812
343328,542960
282322,425089
282322,44864
282322,567372
282322,568468
282322,242458
282322,408911
282322,417266
282322,71711
282322,191364
282322,515669
282322,316744
282322,10000
282322,385153
282322,473244
282322,378121
282322,41388
282322,264033
282322,131158
282322,276274
282322,222318
282322,566683
282322,413198
282322,123600
282322,413515
282322,479870
282322,311585
282322,107562
282322,91086
282322,159018
282322,38849
282322,386430
282322,53819
282322,387470
282322,322761
282322,170282
282322,246798
282322,256611
282322,333606
282322,388787
282322,587291
282322,549929
282322,444511
282322,3929
282322,4753
282322,8966
278665,144
278665,279547
278665,546539
278665,52357
278665,377304
278665,355546
278665,177667
278665,2719
278665,478315
278665,413032
278665,131158
278665,71711
278665,473244
278665,44864
278665,191364
278665,515669
278665,316744
278665,266791
278665,69137
278665,385153
278665,41388
278665,264033
278665,276274
278665,222318
278665,566683
278665,413198
278665,123600
278665,413515
278665,479870
278665,311585
278665,107562
278665,91086
278665,159018
278665,38849
278665,386430
278665,53819
278665,387470
278665,322761
278665,170282
278665,246798
278665,256611
278665,561629
278665,361812
278665,549929
278665,444511
278665,3929
278665,154203
278665,395944
278665,542960
278665,367867
278665,144
278665,279547
278665,546539
278665,52357
278665,377304
278665,355546
278665,177667
278665,2719
278665,478315
278665,413032
278665,131158
278665,71711
278665,473244
278665,44864
278665,191364
278665,515669
278665,316744
278665,266791
278665,69137
278665,385153
278665,41388
278665,264033
278665,276274
278665,222318
278665,566683
278665,413198
278665,123600
278665,413515
278665,479870
278665,311585
278665,107562
278665,91086
278665,159018
278665,38849
278665,386430
278665,53819
278665,387470
278665,322761
278665,170282
278665,246798
278665,256611
278665,561629
278665,361812
278665,549929
278665,444511
278665,3929
278665,154203
278665,395944
278665,542960
278665,367867
317073,139243
317073,47694
317073,10000
317073,16793
317073,529886
317073,170240
317073,2719
317073,408534
317073,311585
317073,316744
317073,417266
317073,71711
317073,194852
317073,578119
317073,46145
317073,106994
317073,122010
317073,258449
317073,385153
317073,308326
317073,473244
317073,378121
317073,41388
317073,170282
317073,131158
317073,276274
317073,222318
317073,566683
317073,413198
317073,123600
317073,413515
317073,479870
317073,44864
317073,107562
317073,91086
317073,38849
317073,386430
317073,53819
317073,387470
317073,322761
317073,246798
317073,159018
317073,256611
317073,515669
317073,549929
317073,444511
317073,3929
317073,596239
317073,49625
317073,602575
317073,139243
317073,47694
317073,10000
317073,16793
317073,529886
317073,170240
317073,2719
317073,408534
317073,311585
317073,316744
317073,417266
317073,71711
317073,194852
317073,578119
317073,46145
317073,106994
317073,122010
317073,258449
317073,385153
317073,308326
317073,473244
317073,378121
317073,41388
317073,170282
317073,131158
317073,276274
317073,222318
317073,566683
317073,413198
317073,123600
317073,413515
317073,479870
317073,44864
317073,107562
317073,91086
317073,38849
317073,386430
317073,53819
317073,387470
317073,322761
317073,246798
317073,159018
317073,256611
317073,515669
317073,549929
317073,444511
317073,3929
317073,596239
317073,49625
317073,602575
169688,109492
169688,120734
169688,153344
169688,329145
169688,283889
169688,144
169688,238912
169688,443751
169688,445444
169688,497345
169688,529026
169688,407144
169688,2719
169688,534329
169688,84948
169688,10000
169688,385153
169688,473244
169688,378121
169688,71711
169688,41388
169688,264033
169688,131158
169688,276274
169688,222318
169688,566683
169688,413198
169688,123600
169688,413515
169688,479870
169688,316744
169688,44864
169688,311585
169688,107562
169688,91086
169688,417266
169688,159018
169688,38849
169688,386430
169688,53819
169688,139243
169688,387470
169688,322761
169688,170282
169688,119648
169688,515669
169688,549929
169688,444511
169688,3929
169688,8966
169688,109492
169688,120734
169688,153344
169688,329145
169688,283889
169688,144
169688,238912
169688,443751
169688,445444
169688,497345
169688,529026
169688,407144
169688,2719
169688,534329
169688,84948
169688,10000
169688,385153
169688,473244
169688,378121
169688,71711
169688,41388
169688,264033
169688,131158
169688,276274
169688,222318
169688,566683
169688,413198
169688,123600
169688,413515
169688,479870
169688,316744
169688,44864
169688,311585
169688,107562
169688,91086
169688,417266
169688,159018
169688,38849
169688,386430
169688,53819
169688,139243
169688,387470
169688,322761
169688,170282
169688,119648
169688,515669
169688,549929
169688,444511
169688,3929
169688,8966
1796,277314
1796,278860
1796,111843
1796,286324
1796,289946
1796,295162
1796,190336
1796,295936
1796,13533
1796,51489
1796,182114
1796,306641
1796,153407
1796,330793
1796,109492
1796,293283
1796,252587
1796,345802
1796,192684
1796,358371
1796,318513
1796,276600
1796,33374
1796,34763
1796,100355
1796,297901
1796,391539
1796,245957
1796,283130
1796,951
1796,420284
1796,369586
1796,231821
1796,333843
1796,247054
1796,59364
1796,257879
1796,426011
1796,297205
1796,457802
1796,499403
1796,498922
1796,259030
1796,533885
1796,532391
1796,497861
1796,371824
1796,586142
1796,291232
1796,513451
1796,277314
1796,278860
1796,111843
1796,286324
1796,289946
1796,295162
1796,190336
1796,295936
1796,13533
1796,51489
1796,182114
1796,306641
1796,153407
1796,330793
